c,Ravg,Rstd,Kavg,Kstd,RavgL,RstdL,KavgL,KstdL
0.0,1.1864131780078997,0.0038104353283594902,0.45764008600946315,0.0016335638193990067,1.160701933547723,0.0054027224849193855,0.464871507740329,0.002103118428486215
0.003,1.1153821888161746,0.0038862898507212485,0.4327428167367984,0.0012497995871396336,1.1295966583320107,0.0041138489006012115,0.4334291432601312,0.001629565537024987
0.006,0.9294374697340048,0.004090225855601701,0.40198677882941125,0.0018401192602840633,0.9453787967373073,0.006474286544083899,0.38878655927506156,0.0034201945410294245
0.009,0.4971379386937911,0.0029439617541137174,0.32949343055952296,0.0038554180170112104,0.5601604297618618,0.013293206087925896,0.17767999565965745,0.013791811141229477
0.012,0.0778380328760768,0.01251071223255558,0.10621935055835323,0.01661379418914374,1.6400038654751774,0.08869537395145567,0.0268604696349473,0.0006031837801500451
0.015,0.0,0.0,0.0,0.0,1.9065263073714604,0.07244982321587917,0.01655995053597921,0.0007005303272097476
0.018,0.0,0.0,0.0,0.0,1.7837418289109515,0.1783934040883123,0.00439132616796596,0.0005360402905761725
0.021,0.0,0.0,0.0,0.0,1.7621618923748052,0.17686398200590264,0.006251767548752483,0.0005283058433848522
0.024,0.0,0.0,0.0,0.0,1.822876291613257,0.13582643063530436,0.004498340929481984,0.00039621948607628925
0.027,0.0,0.0,0.0,0.0,1.6730315644491183,0.23338792911617537,0.0279902485980971,0.002145275967416533
0.03,0.0,0.0,0.0,0.0,1.040192719714999,0.569659785070867,0.021057018716643807,0.11300089560814189
